dispute_id,transaction_id,customer_id,merchant_id,txn_amount,txn_datetime,channel,card_present,currency_type,geo_distance_km,txn_country,time_to_raise_days,mcc,mcc_group,customer_tenure_months,age_group,credit_risk_score,avg_monthly_spend,historical_dispute_count,payment_behavior_score,customer_country,merchant_risk_tier,merchant_dispute_rate,merchant_country,txn_count_10min,txn_count_1hr,txn_count_24hr,distinct_geo_10min,time_gap_prev_txn_min,device_switch_count_24hr,velocity_pattern_label,amount_velocity_10min,amount_velocity_1hr,amount_velocity_24hr,limit_violation,high_risk_country_violation,behavior_pattern_violation,aml_kyc_violation,fraud_pattern_violation,policy_rules_count,policy_severity_score,supporting_docs_count,evidence_quality_score,evidence_to_claim_ratio,sentiment_score,keyword_risk_flag,keyword_risk_score,dispute_text,transaction_risk_behavior_score,p_customer_favor,p_merchant_arbitration,p_customer_assertion,customer_favor,merchant_arbitration,customer_assertion,dispute_category,dispute_reason_code,dispute_channel,dispute_amount,dispute_datetime
DISP_000000,TXN_000000,CUST_00054,MER_0550,63.998656756257745,2024-07-27 01:35:00,POS,1,Domestic,25.564439515560274,IN,37,5814,Fast Food,100,18-25,0.5593439306567186,1330.6897004166892,6,0.7193991929985436,CA,2,0.11520146153391313,IN,2,2,6,1,1020.3346190194626,1,low_velocity_high_amount,12.799731351251548,2.133288558541925,0.2666610698177406,0,1,0,0,0,1,2,0,0.8549976827072929,0.0,-0.11968397051644393,0,0.3448121155007312,I thought this subscription was cancelled.,0.36,0.5564993048121878,0.22900046345854141,0.2359051911549332,1,0,1,first_party_fraud,OTHER,Web,63.998656756257745,2024-09-02 04:35:00
DISP_000001,TXN_000001,CUST_01532,MER_0959,24.043105529708527,2024-06-05 10:46:00,Online,0,Domestic,15.121844480519787,UK,3,5966,Telemarketing,32,36-50,0.7358157551182164,275.9198808116824,2,0.4538281537416886,US,3,0.24590728900860526,UK,2,2,2,1,128.85805351944566,1,normal,4.808621105941706,0.8014368509902842,0.03339320212459518,0,0,0,1,0,1,3,1,0.8101657899242988,0.041591964846819145,-0.3949281413229662,0,0.6709545737256017,The service was not provided but I was billed.,0.41999999999999993,0.8430497369772896,0.15,0.3184784423968899,1,0,0,true_dispute,DUPLICATE,App,24.043105529708527,2024-06-08 13:46:00
DISP_000002,TXN_000002,CUST_00859,MER_0563,179.79105779588235,2024-02-02 17:09:00,Online,0,Domestic,975.4138433517811,US,21,5734,Software Stores,24,65+,0.6043261307404968,2426.6097392097645,5,0.8333744690151582,DE,3,0.17565642138986629,US,2,3,7,1,1344.4439313077694,0,low_velocity_high_amount,35.95821155917647,8.989552889794117,0.8739843087299837,0,0,0,0,0,0,0,0,0.3295565362205087,0.0,-0.25081451703757307,0,0.321382723241464,I don't remember making this purchase.,0.42,0.3988669608661526,0.33408869275589825,0.27524435511127193,0,0,0,first_party_fraud,DUPLICATE,App,179.79105779588235,2024-02-23 19:09:00
DISP_000003,TXN_000003,CUST_00275,MER_0667,213.8029348822887,2024-07-06 11:09:00,ATM,0,Domestic,20.355156804802327,CA,18,7841,Video Rental Stores,8,18-25,0.46842221990674493,2862.968971516641,1,0.5663711828922011,CA,4,0.4947215297601397,CA,1,3,4,1,108.63503150148996,1,normal,21.38029348822887,10.690146744114434,0.5938970413396908,0,0,0,0,0,0,0,4,0.7341297294195607,0.018708817080561775,-0.49501237969777434,0,0.26802642994844195,I was charged twice for the same purchase.,0.45000000000000007,0.8202389188258682,0.15,0.3485037139093323,0,0,0,true_dispute,NOT_RECEIVED,Call,213.8029348822887,2024-07-24 12:09:00
DISP_000004,TXN_000004,CUST_01041,MER_0447,175.79174833856328,2024-07-24 09:27:00,App,0,Domestic,1915.6562115928098,US,23,5818,Digital Goods - Multi,134,36-50,0.49497147253898777,1016.9445320833692,1,0.6090001160324855,AU,3,0.2631455822688584,US,2,3,4,1,119.2835700145329,1,normal,35.158349667712656,8.789587416928164,0.48831041205156467,0,0,0,0,0,0,0,3,0.8599031280255096,0.01706564743995946,-0.3485585769802635,1,0.40694535623563277,I was charged twice for the same purchase.,0.32999999999999996,0.8579709384076528,0.15,0.30456757309407906,1,0,1,true_dispute,QUALITY,App,175.79174833856328,2024-08-16 12:27:00
DISP_000005,TXN_000005,CUST_01002,MER_0547,263.8573672318849,2024-06-16 10:09:00,App,0,Domestic,28.853360659333703,DE,60,5967,Subscription Services,80,36-50,0.8479964455767796,2468.9387315360436,5,0.9026891519767528,US,4,0.36052914243836176,DE,1,2,6,1,908.4396507539454,0,low_velocity_high_amount,26.38573672318849,8.795245574396164,1.0994056967995205,0,1,0,0,0,1,2,0,0.34991455651264775,0.0,0.12172182594904807,0,0.8058504122317363,I don't remember making this purchase.,0.6000000000000001,0.4049743669537943,0.3300170886974705,0.23651654778471443,1,0,1,first_party_fraud,OTHER,Call,263.8573672318849,2024-08-15 12:09:00
DISP_000006,TXN_000006,CUST_01140,MER_0981,115.88128811427286,2024-04-03 01:52:00,Online,0,Domestic,25.495132710846637,AU,43,5999,Misc Retail,3,36-50,0.37137796394309774,2584.0629895002426,4,0.8952862754396136,CA,3,0.24588924574740115,AU,1,3,5,1,80.777554882258,1,normal,11.588128811427286,5.794064405713643,0.4023655837301141,0,1,0,0,0,1,2,2,0.7088489679705143,0.01725904183967786,-0.4223615103914504,0,0.3182783572231968,I thought this subscription was cancelled.,0.39,0.5126546903911543,0.25823020640589717,0.3267084531174351,1,1,0,first_party_fraud,QUALITY,App,115.88128811427286,2024-05-16 05:52:00
DISP_000007,TXN_000007,CUST_00326,MER_0123,53.41284865902254,2024-10-05 14:27:00,POS,1,Domestic,2.3854591249324164,US,5,5814,Fast Food,139,18-25,0.4982205996952886,1877.762424094166,2,0.5952911237426285,AU,2,0.08553036010012299,US,3,4,6,1,32.6046077657451,1,normal,16.023854597706766,3.5608565772681695,0.22255353607926062,0,0,0,0,0,0,0,4,0.794605955706392,0.07488834803654151,-0.5295227971910511,0,0.7779420363206804,I was charged twice for the same purchase.,0.21,0.8383817867119175,0.15,0.35885683915731537,1,0,0,true_dispute,QUALITY,App,53.41284865902254,2024-10-10 15:27:00
DISP_000008,TXN_000008,CUST_01189,MER_0385,133.56021224290873,2024-07-01 16:08:00,Online,0,Domestic,12.082894554406485,IN,42,5999,Misc Retail,20,18-25,0.45912666453439777,2342.260250045637,2,0.5227749768372718,CA,3,0.2645341166382242,IN,2,4,6,1,171.51030754081333,0,normal,26.712042448581748,8.90401414952725,0.5565008843454531,0,1,0,0,0,1,2,0,0.5888194646243811,0.0,-0.8893946812667404,1,0.0,I never received the product I paid for.,0.39,0.4766458393873143,0.2822361070751238,0.4668184043800221,0,0,0,true_dispute,NOT_RECEIVED,App,133.56021224290873,2024-08-12 20:08:00
DISP_000009,TXN_000009,CUST_00344,MER_0910,447.2979482091183,2024-12-12 19:27:00,App,0,Domestic,14.252577256820834,US,22,5818,Digital Goods - Multi,121,26-35,0.5745826143774948,1948.468072643316,1,0.7415298670808184,AU,3,0.23029020152247437,US,2,4,4,1,81.64069186063199,0,normal,89.45958964182367,29.819863213941222,1.2424943005808842,0,1,0,0,0,1,2,3,0.8044987843576101,0.006706938880474042,-0.4454152618747962,1,0.17750277810291037,"This transaction is unauthorized, I never made this purchase.",0.39,0.841349635307283,0.15,0.3336245785624389,1,0,0,third_party_fraud,QUALITY,Web,447.2979482091183,2025-01-03 19:27:00
